file_id,drive_url,file_name,detected_company,document_category,document_type,year_or_period,confidence,matched_by,recommended_folder,status,remarks
12MxCLXAkjtH7QeVqgU6_aoU27kGqZ9U2,https://drive.google.com/file/d/12MxCLXAkjtH7QeVqgU6_aoU27kGqZ9U2,KilauanSutera2025Tax Booklet - .pdf,KILAUAN SUTERA SDN BHD,FINANCIAL,TAX_BOOKLET,2025,HIGH,filename,"01_COMPANY_FILES_SORTED_STAGING/KILAUAN SUTERA SDN BHD/03_FINANCIAL_AUDIT_TAX_BANK",READY_FOR_MOVE_REVIEW,"Company and document type detected."
1z2XF2hMv8yaAtDHqqlPZ43d0G4SfBfIs,https://drive.google.com/file/d/1z2XF2hMv8yaAtDHqqlPZ43d0G4SfBfIs,bestari anggun BAL SHEET.pdf,BESTARI ANGGUN SDN BHD,FINANCIAL,BALANCE_SHEET,UNKNOWN,HIGH,filename,"01_COMPANY_FILES_SORTED_STAGING/BESTARI ANGGUN SDN BHD/03_FINANCIAL_AUDIT_TAX_BANK",READY_FOR_MOVE_REVIEW,"Company and balance sheet detected."
1fTmUDHQtQfO8WSc50Cu5yl5GUvEliLt8,https://drive.google.com/file/d/1fTmUDHQtQfO8WSc50Cu5yl5GUvEliLt8,lubuk permata PNL.pdf,LUBUK PERMATA SDN BHD,FINANCIAL,PROFIT_AND_LOSS,UNKNOWN,HIGH,filename,"01_COMPANY_FILES_SORTED_STAGING/LUBUK PERMATA SDN BHD/03_FINANCIAL_AUDIT_TAX_BANK",READY_FOR_MOVE_REVIEW,"Company and PNL detected."
1mBfH0IIjVdkspJzDS-puCI2p6rwEqnUi,https://drive.google.com/file/d/1mBfH0IIjVdkspJzDS-puCI2p6rwEqnUi,akrabserasi BAL SHEET.pdf,AKRAB SERASI SDN BHD,FINANCIAL,BALANCE_SHEET,UNKNOWN,HIGH,filename,"01_COMPANY_FILES_SORTED_STAGING/AKRAB SERASI SDN BHD/03_FINANCIAL_AUDIT_TAX_BANK",READY_FOR_MOVE_REVIEW,"Company and balance sheet detected."
1JWX0pNOmG8Bg3nfW64r2Sr3LZ7LstaZi,https://drive.google.com/file/d/1JWX0pNOmG8Bg3nfW64r2Sr3LZ7LstaZi,lubuk permata BAL SHEET.pdf,LUBUK PERMATA SDN BHD,FINANCIAL,BALANCE_SHEET,UNKNOWN,HIGH,filename,"01_COMPANY_FILES_SORTED_STAGING/LUBUK PERMATA SDN BHD/03_FINANCIAL_AUDIT_TAX_BANK",READY_FOR_MOVE_REVIEW,"Company and balance sheet detected."
1xBW4ss8vXeiI_AA_dvNykFEKyUkCzqqR,https://drive.google.com/file/d/1xBW4ss8vXeiI_AA_dvNykFEKyUkCzqqR,Kenanga Lestari LEJER.pdf,KENANGA LESTARI SDN BHD,FINANCIAL,LEDGER,UNKNOWN,HIGH,filename,"01_COMPANY_FILES_SORTED_STAGING/KENANGA LESTARI SDN BHD/03_FINANCIAL_AUDIT_TAX_BANK",READY_FOR_MOVE_REVIEW,"Company and ledger detected."
1uAWhI1rkiZ56cN0pjcca94R1Z8QofgBz,https://drive.google.com/file/d/1uAWhI1rkiZ56cN0pjcca94R1Z8QofgBz,lflegacyPNL.pdf,LF LEGACY SDN BHD,FINANCIAL,PROFIT_AND_LOSS,UNKNOWN,HIGH,filename,"01_COMPANY_FILES_SORTED_STAGING/LF LEGACY SDN BHD/03_FINANCIAL_AUDIT_TAX_BANK",READY_FOR_MOVE_REVIEW,"Company and PNL detected."
19zW5L7Jrp7qwbp3BCOYv0ssLT4zdKRp9,https://drive.google.com/file/d/19zW5L7Jrp7qwbp3BCOYv0ssLT4zdKRp9,lflegacyLejer.pdf,LF LEGACY SDN BHD,FINANCIAL,LEDGER,UNKNOWN,HIGH,filename,"01_COMPANY_FILES_SORTED_STAGING/LF LEGACY SDN BHD/03_FINANCIAL_AUDIT_TAX_BANK",READY_FOR_MOVE_REVIEW,"Company and ledger detected."
1-nNvwtjfzHvRMwA4-WGXS0nr8kro9-ZO,https://drive.google.com/file/d/1-nNvwtjfzHvRMwA4-WGXS0nr8kro9-ZO,akrabserasiLEJER.pdf,AKRAB SERASI SDN BHD,FINANCIAL,LEDGER,UNKNOWN,HIGH,filename,"01_COMPANY_FILES_SORTED_STAGING/AKRAB SERASI SDN BHD/03_FINANCIAL_AUDIT_TAX_BANK",READY_FOR_MOVE_REVIEW,"Company and ledger detected."
1UJhs1eKOSCG26l4OdSnOb_0dUwkdzgYY,https://drive.google.com/file/d/1UJhs1eKOSCG26l4OdSnOb_0dUwkdzgYY,Kenanga Lestari Tax Booklet - 2025 latest.pdf,KENANGA LESTARI SDN BHD,FINANCIAL,TAX_BOOKLET,2025,HIGH,filename,"01_COMPANY_FILES_SORTED_STAGING/KENANGA LESTARI SDN BHD/03_FINANCIAL_AUDIT_TAX_BANK",READY_FOR_MOVE_REVIEW,"Company and document type detected."
1E57XTlMQ1TX-Q5zCanSReyvQePs53tvo,https://drive.google.com/file/d/1E57XTlMQ1TX-Q5zCanSReyvQePs53tvo,lf legacyBAL SHEET.pdf,LF LEGACY SDN BHD,FINANCIAL,BALANCE_SHEET,UNKNOWN,HIGH,filename,"01_COMPANY_FILES_SORTED_STAGING/LF LEGACY SDN BHD/03_FINANCIAL_AUDIT_TAX_BANK",READY_FOR_MOVE_REVIEW,"Company and balance sheet detected."
